poi_id,poi_type,lat,lon,x,y,mode,edge_id,lane_id,pos,dist_to_edge,status,error_reason
home_106144,home,46.129601,-1.008532,43017.00,41606.23,passenger,114697915#1,114697915#1_0,12.84,12.43,mapped,
home_106151,home,46.13402,-1.00867,42994.04,42096.95,pedestrian,-113738651#5,-113738651#5_0,0.10,5.32,mapped,
home_106151,home,46.13402,-1.00867,42994.04,42096.95,passenger,-113738651#5,-113738651#5_0,0.10,5.32,mapped,
home_106182,home,46.123941,-1.008059,43069.31,40978.28,pedestrian,113748792#1,113748792#1_0,22.83,22.69,mapped,
home_106182,home,46.123941,-1.008059,43069.31,40978.28,passenger,113748792#1,113748792#1_0,22.83,22.69,mapped,
home_106183,home,46.125864,-1.009427,42958.27,41189.29,pedestrian,-496285341,-496285341_0,0.10,8.48,mapped,
home_106183,home,46.125864,-1.009427,42958.27,41189.29,passenger,113747977#3,113747977#3_0,0.10,32.27,mapped,
home_106213,home,46.127436,-1.012279,42733.57,41358.44,pedestrian,106568767#4,106568767#4_0,49.65,16.55,mapped,
home_106213,home,46.127436,-1.012279,42733.57,41358.44,passenger,106568767#4,106568767#4_0,49.65,16.55,mapped,
home_106216,home,46.123625,-1.008818,43011.55,40941.70,pedestrian,712609230#0,712609230#0_0,54.78,1.17,mapped,
home_106216,home,46.123625,-1.008818,43011.55,40941.70,passenger,712609230#0,712609230#0_0,54.78,1.17,mapped,
home_106220,home,46.126445,-1.015283,42504.25,41242.53,pedestrian,113741409#5,113741409#5_0,41.78,13.63,mapped,
home_106220,home,46.126445,-1.015283,42504.25,41242.53,passenger,113741409#5,113741409#5_0,41.78,13.63,mapped,
home_106225,home,46.123917,-1.00764,43101.75,40976.43,pedestrian,113748792#1,113748792#1_0,47.85,20.46,mapped,
home_106225,home,46.123917,-1.00764,43101.75,40976.43,passenger,113748792#1,113748792#1_0,47.85,20.46,mapped,
home_106226,home,46.124089,-1.010427,42885.95,40990.14,pedestrian,750222984,750222984_0,29.81,0.52,mapped,
home_106226,home,46.124089,-1.010427,42885.95,40990.14,passenger,257566048#5,257566048#5_0,14.64,32.58,mapped,
home_106227,home,46.123996,-0.984544,44885.86,41030.21,pedestrian,-498613407#0,-498613407#0_0,47.56,13.41,mapped,
home_106227,home,46.123996,-0.984544,44885.86,41030.21,passenger,-498613407#0,-498613407#0_0,47.56,13.41,mapped,
home_106228,home,46.134074,-1.013456,42624.20,42093.69,pedestrian,113745468,113745468_0,132.65,22.41,mapped,
home_106228,home,46.134074,-1.013456,42624.20,42093.69,passenger,113745468,113745468_0,132.65,22.41,mapped,
home_106233,home,46.131845,-1.012752,42684.77,41847.39,pedestrian,113741415#0,113741415#0_0,80.89,17.24,mapped,
home_106233,home,46.131845,-1.012752,42684.77,41847.39,passenger,113741415#0,113741415#0_0,80.89,17.24,mapped,
home_106238,home,46.129039,-1.012743,42693.27,41535.64,pedestrian,-227879615,-227879615_0,36.64,36.01,mapped,
home_106238,home,46.129039,-1.012743,42693.27,41535.64,passenger,-227879615,-227879615_0,36.64,36.01,mapped,
home_106242,home,46.128205,-1.012015,42751.82,41444.39,pedestrian,106568767#3,106568767#3_0,15.78,5.58,mapped,
