person_id,status,reason
143002,skipped_no_route,"no car route -498614965->1326086661#4 (disconnected components (vclass=passenger, component_visits~154534))"
143003,ok,
143004,ok,
143005,ok,
143006,ok,
143012,ok,
143013,ok,
143014,ok,
143015,ok,
143016,ok,
143017,ok,
143018,ok,
143019,ok,
143020,ok,
143041,ok,
143045,ok,
143060,ok,
143061,ok,
143078,ok,
143079,ok,
143080,ok,
143081,ok,
143082,ok,
143083,ok,
143084,ok,
143085,ok,
143105,ok,
143129,ok,
14313,ok,
143130,ok,
143131,ok,
143134,ok,
143135,skipped_no_route,"no car route -564069590#0->-696517148#0 (disconnected components (vclass=passenger, component_visits~154534))"
143138,ok,
143139,ok,
14314,ok,
143143,ok,
143176,ok,
143177,ok,
143178,ok,
143210,ok,
143211,ok,
143232,ok,
143233,ok,
143234,ok,
143252,ok,
143253,ok,
143254,ok,
143258,ok,
143259,ok,
143260,ok,
143283,ok,
143284,skipped_no_route,"no pedestrian route -1191172069->1160547520#1 (disconnected components (vclass=pedestrian, component_visits~205389))"
143287,ok,
143288,ok,
143289,ok,
143290,skipped_no_route,"no bicycle route 118764513#1->105828672#0 (disconnected components (vclass=bicycle, component_visits~250001))"
143291,ok,
143311,ok,
143312,ok,
143322,ok,
14334,ok,
143347,ok,
143348,ok,
143441,ok,
143442,ok,
143497,ok,
143498,ok,
143521,ok,
143522,ok,
143533,ok,
143534,ok,
143540,ok,
143547,ok,
143548,ok,
143549,ok,
143580,ok,
143581,ok,
143582,ok,
143583,ok,
143584,ok,
143628,ok,
143629,ok,
143630,ok,
143654,ok,
143655,ok,
143656,skipped_no_route,"no car route 18886552#2->118764651#4 (disconnected components (vclass=passenger, component_visits~3))"
143657,ok,
143686,ok,
143687,ok,
143688,ok,
143689,ok,
143690,ok,
143691,skipped_no_route,"no car route 1260765694#2->122704202#3 (disconnected components (vclass=passenger, component_visits~1))"
143716,ok,
143717,ok,
143718,ok,
143734,skipped_no_route,"no bicycle route 118764513#1->27701496 (disconnected components (vclass=bicycle, component_visits~250001))"
143735,ok,
143736,ok,
143737,ok,
143738,ok,
143739,ok,
143740,ok,
143751,ok,
143752,ok,
143759,ok,
143760,ok,
143817,ok,
143818,ok,
14382,ok,
14383,ok,
14384,ok,
143844,ok,
143845,ok,
14385,ok,
143860,skipped_other,"""Missing facility mapping for 'sec_10221'"""
143861,ok,
143900,ok,
143901,ok,
143906,ok,
143944,ok,
143945,ok,
143987,ok,
143988,ok,
144035,ok,
144036,ok,
144060,ok,
144061,ok,
144126,ok,
144127,ok,
144128,ok,
144152,ok,
144153,ok,
144154,ok,
144199,ok,
144204,ok,
144205,ok,
144206,ok,
144207,ok,
144279,ok,
144280,ok,
144311,ok,
144312,ok,
144313,ok,
144314,ok,
14441,ok,
14473,ok,
14474,ok,
1449,ok,
1450,ok,
1451,ok,
14595,ok,
14596,ok,
14597,ok,
14598,ok,
146,ok,
14618,ok,
14675,ok,
14676,ok,
147,ok,
14706,ok,
14707,ok,
14708,ok,
14715,ok,
14716,ok,
14717,ok,
14755,ok,
14756,ok,
14757,ok,
14758,ok,
14773,ok,
14774,ok,
14791,ok,
148,ok,
14826,ok,
14827,ok,
14834,ok,
14835,ok,
14883,ok,
14884,ok,
14915,ok,
149170,ok,
149171,ok,
149172,ok,
149173,ok,
149190,ok,
149191,ok,
149215,ok,
149216,ok,
149230,ok,
149231,ok,
149245,ok,
149247,ok,
149248,ok,
14925,ok,
149250,ok,
14926,ok,
14927,ok,
149270,ok,
149271,ok,
149285,ok,
149286,ok,
149287,ok,
149288,ok,
149289,ok,
149291,ok,
149292,skipped_no_route,"no car route -783392566#1->31520780#0 (disconnected components (vclass=passenger, component_visits~154534))"
149293,skipped_no_route,"no car route -783392566#1->18891447#2 (disconnected components (vclass=passenger, component_visits~154534))"
149294,ok,
149316,skipped_no_route,"no pedestrian route 1375351414#1->-124201842#2 (disconnected components (vclass=pedestrian, component_visits~2))"
149317,ok,
149318,ok,
149319,ok,
149324,ok,
149325,ok,
149326,ok,
149335,ok,
149372,ok,
149429,ok,
149430,ok,
149492,ok,
149493,ok,
149494,ok,
149495,ok,
149529,ok,
149531,ok,
149545,ok,
149567,ok,
149611,ok,
149615,ok,
