,Distance class,HTS,HTS adjust with INSEE population weights,EQASIM,Proportion_HTS,Proportion_EQASIM
71,"(71.0, 72.0]",0.0,0.0,90.9090909090909,0.0,3.854856926985155e-05
72,"(72.0, 73.0]",0.0,0.0,81.81818181818181,0.0,3.4693712342866397e-05
73,"(73.0, 74.0]",0.0,0.0,154.54545454545453,0.0,6.553256775874763e-05
74,"(74.0, 75.0]",0.0,0.0,72.72727272727273,0.0,3.083885541588124e-05
75,"(75.0, 76.0]",0.0,0.0,118.18181818181819,0.0,5.011314005080702e-05
76,"(76.0, 77.0]",0.0,0.0,63.63636363636363,0.0,2.6983998488896086e-05
77,"(77.0, 78.0]",0.0,0.0,100.0,0.0,4.240342619683671e-05
78,"(78.0, 79.0]",8057.0961632,9240.14280089788,90.9090909090909,0.003952750194840965,3.854856926985155e-05
79,"(79.0, 80.0]",0.0,0.0,100.0,0.0,4.240342619683671e-05
80,"(80.0, 81.0]",0.0,0.0,36.36363636363637,0.0,1.541942770794062e-05
81,"(81.0, 82.0]",0.0,0.0,45.45454545454545,0.0,1.9274284634925776e-05
82,"(82.0, 83.0]",0.0,0.0,45.45454545454545,0.0,1.9274284634925776e-05
83,"(83.0, 84.0]",0.0,0.0,36.36363636363637,0.0,1.541942770794062e-05
84,"(84.0, 85.0]",0.0,0.0,36.36363636363637,0.0,1.541942770794062e-05
85,"(85.0, 86.0]",0.0,0.0,72.72727272727273,0.0,3.083885541588124e-05
86,"(86.0, 87.0]",0.0,0.0,27.272727272727273,0.0,1.1564570780955466e-05
87,"(87.0, 88.0]",0.0,0.0,9.090909090909092,0.0,3.854856926985155e-06
88,"(88.0, 89.0]",0.0,0.0,145.45454545454547,0.0,6.167771083176248e-05
89,"(89.0, 90.0]",0.0,0.0,18.181818181818183,0.0,7.70971385397031e-06
90,"(90.0, 91.0]",0.0,0.0,54.54545454545455,0.0,2.312914156191093e-05
91,"(91.0, 92.0]",0.0,0.0,36.36363636363637,0.0,1.541942770794062e-05
92,"(92.0, 93.0]",0.0,0.0,18.181818181818183,0.0,7.70971385397031e-06
93,"(93.0, 94.0]",0.0,0.0,9.090909090909092,0.0,3.854856926985155e-06
94,"(94.0, 95.0]",0.0,0.0,9.090909090909092,0.0,3.854856926985155e-06
95,"(95.0, 96.0]",0.0,0.0,72.72727272727273,0.0,3.083885541588124e-05
96,"(96.0, 97.0]",0.0,0.0,0.0,0.0,0.0
97,"(97.0, 98.0]",0.0,0.0,63.63636363636363,0.0,2.6983998488896086e-05
98,"(98.0, 99.0]",0.0,0.0,36.36363636363637,0.0,1.541942770794062e-05
99,"(99.0, inf]",19023.0853802,21816.299801603534,609.0909090909091,0.00933258123274001,0.0002582754141080054
