trip_id,route_id,route_short_name,route_color_hex,rgb
CA_LA_ROCHELLE:VehicleJourney:C3350423,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350425,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350427,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350479,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350483,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350489,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350511,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350563,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350569,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350571,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350577,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3352661,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325474,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325477,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325478,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325480,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325481,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325505,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325514,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325515,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325518,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325522,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325523,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3349297,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350283,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350285,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350289,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350291,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350307,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350313,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350339,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350357,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350359,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350365,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350373,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350375,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325475,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
