person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
10675;0;1;MOBIITI:Quay:113833.link:122110;MOBIITI:Quay:113778.link:177629;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348636;;MOBIITI:StopPlace:78688;MOBIITI:StopPlace:78667;bus
10675;1;4;MOBIITI:Quay:113836.link:34831;MOBIITI:Quay:113832.link:170081;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348536;;MOBIITI:StopPlace:78690;MOBIITI:StopPlace:78688;bus
106754;0;1;MOBIITI:Quay:113966.link:137727;MOBIITI:Quay:113933.link:2184;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352258;;MOBIITI:StopPlace:78761;MOBIITI:StopPlace:78744;bus
106754;0;3;MOBIITI:Quay:113934.link:162746;MOBIITI:Quay:114146.link:38629;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360360;;MOBIITI:StopPlace:78744;MOBIITI:StopPlace:78852;bus
106754;0;5;MOBIITI:Quay:114147.link:80209;MOBIITI:Quay:114151.link:120284;CA_LA_ROCHELLE:Line:18;CA_LA_ROCHELLE:VehicleJourney:C3352610;;MOBIITI:StopPlace:78853;MOBIITI:StopPlace:78855;bus
10676;0;1;MOBIITI:Quay:113833.link:122110;MOBIITI:Quay:113802.link:68238;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348506;;MOBIITI:StopPlace:78688;MOBIITI:StopPlace:78679;bus
10676;1;4;MOBIITI:Quay:113801.link:68237;MOBIITI:Quay:113832.link:170081;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348524;;MOBIITI:StopPlace:78679;MOBIITI:StopPlace:78688;bus
10677;0;1;MOBIITI:Quay:113833.link:122110;MOBIITI:Quay:113785.link:208455_spec;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348659;;MOBIITI:StopPlace:78688;MOBIITI:StopPlace:78670;bus
10677;0;3;MOBIITI:Quay:113786.link:151364;MOBIITI:Quay:114440.link:16800;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360494;;MOBIITI:StopPlace:78670;MOBIITI:StopPlace:79012;bus
10677;1;6;MOBIITI:Quay:114441.link:13891;MOBIITI:Quay:114193.link:186278;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360496;;MOBIITI:StopPlace:79012;MOBIITI:StopPlace:78877;bus
10677;1;8;MOBIITI:Quay:114193.link:10378;MOBIITI:Quay:113833.link:122110;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350405;;MOBIITI:StopPlace:78877;MOBIITI:StopPlace:78688;bus
107088;0;1;MOBIITI:Quay:113966.link:137727;MOBIITI:Quay:113933.link:2184;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352267;;MOBIITI:StopPlace:78761;MOBIITI:StopPlace:78744;bus
107088;0;3;MOBIITI:Quay:113934.link:162746;MOBIITI:Quay:114146.link:38629;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360472;;MOBIITI:StopPlace:78744;MOBIITI:StopPlace:78852;bus
107088;0;5;MOBIITI:Quay:114147.link:80209;MOBIITI:Quay:114250.link:222103;CA_LA_ROCHELLE:Line:20;CA_LA_ROCHELLE:VehicleJourney:C3360855;;MOBIITI:StopPlace:78853;MOBIITI:StopPlace:78905;bus
107088;1;8;MOBIITI:Quay:114249.link:222104;MOBIITI:Quay:114146.link:38629;CA_LA_ROCHELLE:Line:20;CA_LA_ROCHELLE:VehicleJourney:C3360803;;MOBIITI:StopPlace:78905;MOBIITI:StopPlace:78852;bus
107088;1;10;MOBIITI:Quay:114547.link:157299;MOBIITI:Quay:113933.link:2184;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360482;;MOBIITI:StopPlace:79076;MOBIITI:StopPlace:78744;bus
107088;1;12;MOBIITI:Quay:113933.link:2184;MOBIITI:Quay:113967.link:88879;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3349581;;MOBIITI:StopPlace:78744;MOBIITI:StopPlace:78761;bus
107409;0;1;MOBIITI:Quay:113966.link:137727;MOBIITI:Quay:113856.link:58461;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352267;;MOBIITI:StopPlace:78761;MOBIITI:StopPlace:78703;bus
107409;0;3;MOBIITI:Quay:113855.link:68236;MOBIITI:Quay:114681.link:83966;CA_LA_ROCHELLE:Line:6;CA_LA_ROCHELLE:VehicleJourney:C3348621;;MOBIITI:StopPlace:78703;MOBIITI:StopPlace:79152;bus
107409;1;6;MOBIITI:Quay:113882.link:64463;MOBIITI:Quay:113911.link:76579;CA_LA_ROCHELLE:Line:11;CA_LA_ROCHELLE:VehicleJourney:C3348778;;MOBIITI:StopPlace:78717;MOBIITI:StopPlace:78732;bus
107409;2;9;MOBIITI:Quay:113911.link:76579;MOBIITI:Quay:113967.link:88879;CA_LA_ROCHELLE:Line:341;CA_LA_ROCHELLE:VehicleJourney:C3361507;;MOBIITI:StopPlace:78732;MOBIITI:StopPlace:78761;bus
10748;0;1;MOBIITI:Quay:114630.link:172072;MOBIITI:Quay:113803.link:153999;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350281;;MOBIITI:StopPlace:79125;MOBIITI:StopPlace:78680;bus
10748;0;3;MOBIITI:Quay:113804.link:125310;MOBIITI:Quay:114105.link:156853;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319118;;MOBIITI:StopPlace:78680;MOBIITI:StopPlace:78831;bus
108025;0;1;MOBIITI:Quay:113966.link:137727;MOBIITI:Quay:113821.link:49520;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352284;;MOBIITI:StopPlace:78761;MOBIITI:StopPlace:78683;bus
108025;0;3;MOBIITI:Quay:113819.link:32658;MOBIITI:Quay:114651.link:37903;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350357;;MOBIITI:StopPlace:78683;MOBIITI:StopPlace:79136;bus
108205;0;1;MOBIITI:Quay:113966.link:137727;MOBIITI:Quay:113821.link:49520;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352267;;MOBIITI:StopPlace:78761;MOBIITI:StopPlace:78683;bus
108205;2;5;MOBIITI:Quay:113887.link:83356_spec;MOBIITI:Quay:113967.link:88879;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352275;;MOBIITI:StopPlace:78720;MOBIITI:StopPlace:78761;bus
108205;3;8;MOBIITI:Quay:113966.link:137727;MOBIITI:Quay:113821.link:49520;CA_LA_ROCHELLE:Line:12;CA_LA_ROCHELLE:VehicleJourney:C3352266;;MOBIITI:StopPlace:78761;MOBIITI:StopPlace:78683;bus
